Date,Open,High,Low,Close,Adj Close,Volume
29/8/2016,4.17,4.2,4.12,4.12,3.464805,14661300
30/8/2016,4.14,4.15,4.08,4.1,3.447986,16499400
31/8/2016,4.07,4.12,4.02,4.02,3.380708,24281600
1/9/2016,4.03,4.07,3.93,3.97,3.33866,38687400
2/9/2016,3.9,3.91,3.84,3.87,3.254562,55353300
5/9/2016,3.91,3.96,3.9,3.95,3.32184,24343200
6/9/2016,3.94,4.03,3.93,4.03,3.389118,28794200
7/9/2016,4.03,4.05,4,4.03,3.389118,15706100
8/9/2016,4.03,4.06,3.98,4.06,3.414347,14112700
9/9/2016,4.03,4.03,3.98,4,3.363889,17682600
13/9/2016,3.96,3.96,3.88,3.89,3.271382,37211700
14/9/2016,3.89,3.89,3.83,3.87,3.254562,33079100
15/9/2016,3.85,3.9,3.81,3.89,3.271382,40070801
16/9/2016,3.88,3.94,3.87,3.91,3.288201,24407100
19/9/2016,3.94,3.97,3.92,3.97,3.33866,16842600
20/9/2016,3.95,3.97,3.91,3.92,3.296611,13679500
21/9/2016,3.93,3.97,3.92,3.95,3.32184,14612100
22/9/2016,4.01,4.01,3.93,3.95,3.32184,12764200
23/9/2016,3.97,3.99,3.92,3.98,3.347069,15836500
26/9/2016,3.96,3.99,3.95,3.96,3.33025,9728200
27/9/2016,3.97,3.99,3.95,3.99,3.355479,21054300
28/9/2016,4,4,3.96,4,3.363889,11312000
29/9/2016,4,4.02,3.99,4.02,3.380708,13460600
30/9/2016,3.97,3.98,3.94,3.97,3.33866,19856750
3/10/2016,4,4.07,4,4.01,3.372298,18027900
4/10/2016,4.03,4.05,4,4.03,3.389118,14466800
5/10/2016,4.01,4.06,4.01,4.05,3.405937,13852200
6/10/2016,4.08,4.1,4.02,4.02,3.380708,12188100
7/10/2016,4.04,4.04,3.95,3.95,3.32184,21003700
10/10/2016,3.93,3.95,3.92,3.94,3.313431,11307700
11/10/2016,3.94,3.96,3.88,3.89,3.271382,29460600
12/10/2016,3.86,3.88,3.83,3.83,3.220923,38984765
13/10/2016,3.81,3.86,3.81,3.84,3.229333,32525000
14/10/2016,3.87,3.89,3.84,3.88,3.262972,21551800
17/10/2016,3.86,3.93,3.84,3.92,3.296611,25410900
18/10/2016,3.89,3.91,3.87,3.91,3.288201,12760800
19/10/2016,3.91,3.94,3.88,3.94,3.313431,15302100
20/10/2016,3.96,3.96,3.88,3.9,3.279791,18045800
21/10/2016,3.88,3.88,3.88,3.88,3.262972,13792500
24/10/2016,3.91,3.92,3.85,3.92,3.296611,14470300
25/10/2016,3.92,3.93,3.9,3.92,3.296611,12191800
26/10/2016,3.92,3.92,3.88,3.9,3.279791,8911400
27/10/2016,3.9,3.91,3.88,3.88,3.262972,9908000
28/10/2016,3.86,3.9,3.86,3.9,3.279791,12079700
31/10/2016,3.89,3.92,3.87,3.88,3.262972,13128000
1/11/2016,3.88,3.93,3.87,3.91,3.288201,10449900
2/11/2016,3.86,3.92,3.86,3.9,3.279791,14060800
3/11/2016,3.89,3.91,3.86,3.9,3.279791,16839500
4/11/2016,3.86,3.89,3.85,3.85,3.237743,17514300
7/11/2016,3.87,3.9,3.86,3.86,3.246152,11078100
8/11/2016,3.87,3.9,3.86,3.88,3.262972,11430700
9/11/2016,3.89,3.9,3.81,3.86,3.246152,26420700
10/11/2016,3.86,3.88,3.82,3.84,3.229333,33523100
11/11/2016,3.8,3.8,3.72,3.77,3.170465,56036300
14/11/2016,3.73,3.74,3.68,3.68,3.094778,35577200
15/11/2016,3.65,3.71,3.65,3.66,3.077958,26699300
16/11/2016,3.65,3.71,3.65,3.66,3.077958,33400800
17/11/2016,3.67,3.71,3.66,3.67,3.086368,26962700
18/11/2016,3.66,3.72,3.66,3.71,3.120007,21937532
21/11/2016,3.69,3.69,3.65,3.65,3.069549,32901400
